Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,118.73,155.94,95.39,117.67,101.36,3797921
2022-01-04,147.54,153.81,97.91,111.84,103.26,9657768
2022-01-05,136.6,159.7,93.19,139.03,123.2,1441904
2022-01-06,129.93,158.42,96.26,113.74,145.46,6070414
2022-01-07,107.8,158.38,98.86,141.13,126.94,6092792
2022-01-10,107.8,154.69,96.16,121.19,124.89,1578526
2022-01-11,102.9,154.15,92.33,133.38,105.27,7612208
2022-01-12,143.31,152.73,90.24,104.78,132.84,8587676
2022-01-13,130.06,150.56,98.7,131.19,141.11,1837393
2022-01-14,135.4,158.65,90.21,122.59,119.02,6134544
2022-01-17,101.03,158.13,98.75,129.33,138.78,1814422
2022-01-18,148.5,160.0,95.29,108.4,148.22,6305431
2022-01-19,141.62,159.97,99.39,136.84,110.19,3263429
2022-01-20,110.62,155.55,97.99,143.14,126.17,4135812
2022-01-21,109.09,157.69,99.98,110.84,114.36,3938687
2022-01-24,109.17,159.45,93.51,104.79,139.64,6153435
2022-01-25,115.21,158.5,97.67,101.18,128.88,2416842
2022-01-26,126.24,152.47,94.02,132.1,131.73,4689024
2022-01-27,121.6,154.51,94.8,130.35,139.9,5396650
2022-01-28,114.56,151.29,96.28,127.33,119.8,4702418
2022-01-31,130.59,159.54,98.74,111.6,145.75,4641771
2022-02-01,106.97,156.06,99.84,119.55,126.65,7428099
2022-02-02,114.61,152.29,97.68,129.72,107.9,5079441
2022-02-03,118.32,156.72,94.18,124.84,134.79,6356430
2022-02-04,122.8,156.18,94.21,149.39,139.66,7775602
2022-02-07,139.26,153.58,97.38,106.82,115.84,1960652
2022-02-08,109.98,151.14,92.39,134.76,142.86,3188370
2022-02-09,125.71,156.72,91.1,120.22,145.31,7985945
2022-02-10,129.62,155.2,93.55,121.41,113.85,4994528
2022-02-11,102.32,157.72,92.87,135.88,149.18,3076475
2022-02-14,130.38,155.2,92.96,134.62,107.04,3141912
2022-02-15,108.53,158.52,92.34,149.56,110.1,4144311
2022-02-16,103.25,155.52,90.42,106.42,109.21,1285622
2022-02-17,147.44,155.61,90.18,105.21,144.7,2962889
2022-02-18,148.28,158.77,99.88,136.22,132.71,2396436
2022-02-21,140.42,154.03,94.28,128.92,107.61,3195690
2022-02-22,115.23,151.34,93.84,113.71,122.02,6170080
2022-02-23,104.88,150.29,96.8,103.97,130.76,5705815
2022-02-24,134.21,157.55,92.18,104.28,104.17,3982410
2022-02-25,122.01,156.2,99.5,144.71,144.12,7674192
2022-02-28,106.1,157.04,97.86,109.59,140.18,2404355
2022-03-01,124.76,152.13,90.89,116.17,125.26,6056093
2022-03-02,101.72,151.36,94.18,111.33,148.36,3464722
2022-03-03,145.47,150.15,98.79,117.75,120.89,7559442
2022-03-04,112.94,153.51,99.45,103.47,149.21,6630761
2022-03-07,133.13,155.9,94.67,125.95,133.4,3901092
2022-03-08,115.59,153.92,96.13,103.38,131.73,2722907
2022-03-09,126.0,154.37,91.67,140.02,108.3,3870574
2022-03-10,127.34,159.04,99.91,111.69,144.1,7882799
2022-03-11,109.24,153.48,92.32,127.0,121.37,8952017
2022-03-14,148.48,155.14,99.43,144.0,108.11,7921983
2022-03-15,138.76,157.84,96.5,132.54,100.63,7526925
2022-03-16,146.97,153.97,96.08,126.65,127.99,6365986
2022-03-17,144.74,156.22,95.13,116.22,126.37,7759291
2022-03-18,129.89,158.62,92.31,116.65,135.97,9343528
2022-03-21,146.09,159.5,91.77,133.47,144.51,6532388
2022-03-22,104.42,151.47,92.2,149.71,103.97,9020364
2022-03-23,109.8,159.27,91.86,133.09,136.57,8451747
2022-03-24,102.26,154.92,97.8,127.89,109.37,4881857
